protein_annotation	regex_label	manual_label	note
NADPH-dependent 7-cyano-7-deazaguanine reductase QueF	proper	proper	
Hydrogen peroxide-inducible genes activator > OxyR	proper	proper	
Scoulerine-9-O-methyltransferase 1	proper	proper	
PadR domain-containing protein	proper	proper	
protein mono-ADP-ribosyltransferase PARP9 isoform X4	proper	proper	
Chromosome replication	proper	proper	
Aste57867_15225 protein	proper	uninformative	
G/U mismatch-specific DNA glycosylase (Modular protein)	proper	proper	
P22 coat - protein 5 family protein	proper	proper	
Unplaced genomic scaffold scaffold_455, whole genome shotgun sequence	uninformative	uninformative	
KaiC protein	proper	proper	
Putative circadian clock protein, KaiC	proper	proper	
uncharacterized protein LOC113492616 isoform X5	proper	uninformative	
Putative RNAse	proper	proper	
DNA transport protein HofQ	proper	proper	
Bacillopeptidase F	proper	proper	
Acyl-CoA binding protein	proper	proper	
Bacteriophage lambda head decoration protein D	proper	proper	
Transporter, SSS family	proper	proper	
DNA (Cytosine-5)-methyltransferase 3B isoform 3	proper	proper	
Kelch domain-containing protein STK_09390	proper	proper	
Bifunctional oligoribonuclease/PAP phosphatase NrnA	proper	proper	
Zmp:0000000619	proper	uninformative	
DUF4376 domain containing protein	low informative	low	
Recombination protein MgsA	proper	proper	
GNAT-family acetyltransferase TIGR03103	proper	proper	
DNA-binding IscR family transcriptional regulator	proper	proper	
Arabinose 5-phosphate isomerase KpsF	proper	proper	
Tubulin gamma chain	proper	proper	
MazG nucleotide pyrophosphohydrolase domain	proper	proper	
RNA ligase-domain-containing protein	proper	proper	
N-acetyltransferase family protein	proper	proper	
Putative phage integrase, Bbp50	proper	proper	
C5-cytosine specific methylase	proper	proper	
26S proteasome regulatory subunit 6A (Trinotate prediction)	proper	proper	
PyrE-like protein	proper	proper	
Nuclear protein ZAP, related protein, putative	proper	proper	
Calicin	proper	proper	
Complex I-SGDH	proper	proper	
Tail/DNA circulation protein	proper	proper	
D12 class N6 adenine-specific DNA methyltransferase superfamily	proper	proper	
Oligoribonuclease, mitochondrial	proper	proper	
S-layer domain-containing protein	proper	proper	
Com family DNA-binding transcriptional regulator	proper	proper	
Class B acid phosphatase	proper	proper	
Probable amidotransferase subunit	proper	proper	
Phage-like element PBSX protein XkdK	proper	proper	
Toxin-antitoxin system, toxin component, Bro family	proper	proper	
Putative metallopeptidase	proper	proper	
Peptidase P60	proper	proper	
DUF3293 domain-containing protein	low informative	low	
(P)ppGpp synthetase I, SpoT/RelA	proper	proper	
Putative endonuklease-like protein	proper	proper	
Cell wall-associated hydrolases	proper	proper	
Phosphoesterase domain protein	proper	proper	
DNA repair protein Rhp26/Rad26, putative	proper	proper	
BppA	proper	proper	
Bacterial group 2 Ig-like protein	proper	proper	
Nucleosome remodeling complex atpase subunit	proper	proper	
Myo-Inositol 2-dehydrogenase	proper	proper	
2-desacetyl-2-hydroxyethyl bacteriochlorophyllide A dehydrogenase	proper	proper	
F5/8 type C domain	proper	proper	
Probable starch synthase 4, chloroplastic/amyloplastic	proper	proper	
GCN5 family N-acetyltransferase	proper	proper	
uncharacterized protein LOC113215502	uninformative	uninformative	
Phage Terminase Large Subunit	proper	proper	
Hva1_TUDOR domain-containing protein	proper	proper	
Acyl-n-acyltransferase	proper	proper	
C3H1-type domain-containing protein	proper	proper	
EndoU_bacteria domain-containing protein	proper	proper	
O-acetyl-ADP-ribose deacetylase MACROD2 isoform X2	proper	proper	
P22_AR_C domain-containing protein	proper	proper	
Cob-i2 ORF	proper	proper	
Major head subunit	proper	proper	
CLUMA_CG015213, isoform A	proper	uninformative	
Prokaryotic homologs of the JAB domain	proper	proper	
Choice-of-anchor D domain-containing protein	proper	proper	
Macrodomain protein	proper	proper	
Haloacid dehalogenase-like hydrolase, putative	proper	proper	
KN17_SH3 domain-containing protein	proper	proper	
NAD(P)-binding Rossmann-fold superfamily protein	proper	proper	
PBECR1 domain-containing protein	proper	proper	
TF_AP-2 domain-containing protein	proper	proper	
Uncharacterized LOC103140637	proper	uninformative	
ribonucleoside-diphosphate reductase subunit M2 B isoform X1	proper	proper	
Synaptotagmin-1	proper	proper	
uncharacterized protein LOC115325222	uninformative	uninformative	
Bacteriophage HK97-gp10, putative tail-component	proper	proper	
Fibrillin-1-like, partial	proper	proper	
Kel1/Kel2	proper	proper	
Influenza virus NS1A-binding homolog	proper	proper	
Alkylated DNA repair protein	proper	proper	
peptide chain release factor PrfB2, chloroplastic isoform X1	proper	proper	
20S proteasome A and B subunit	proper	proper	
Putative Regulatory protein IclR	proper	proper	
Cytosine-specific DNA methyltransferase	proper	proper	
Uncultured bacterium extrachromosomal DNA RGI00048	proper	uninformative	
THAP-type domain-containing protein	proper	proper	
Chromatin structure-remodeling complex subunit snf21	proper	proper	
Thymidylate kinase-like protein	proper	proper	
Competence protein ComE	proper	proper	
Glutamine amidotransferase class-II	proper	proper	
Phosphoribosyl pyrophosphate synthetase, putative	proper	proper	
Putative comE operon protein 2	proper	proper	
DNA polymerase III, subunit gamma and tau	proper	proper	
Laminin G domain protein	proper	proper	
Glutathione synthase/ribosomal protein S6 modification enzyme (Glutaminyl transferase)	proper	proper	
Quaking_NLS domain-containing protein	proper	proper	
DNA ligase	proper	proper	
Bicupin oxalate decarboxylase/oxidase	proper	proper	
HAD-IIA family hydrolase	proper	proper	
Citrate-binding protein	proper	proper	
Exonuclease VIII, ds DNA exonuclease encoded by prophage	proper	proper	
