protein_annotation	label
Activator 1 36 kDa, putative	0
ARAD1C36740p	0
Abasic site processing protein YMR114C	2
Amino acid dehydrogenase	2
Transcription regulator HTH, LysR	2
LytTR family transcriptional regulator	2
Cell wall-associated hydrolases	2
Recombination protein U	2
Snf2 family helicase-like protein	2
GD15429	0
Glucagon receptor	2
uncharacterized protein LOC116221794	0
Uncharacterized conserved protein UCP015417, vWA	0
FAD/FMN-containing dehydrogenase	2
Epimerase/dehydratase	2
Prohibitin 6	2
Phage exonuclease Putative phage-encoded enzyme involved in integration-recombination	2
ATPase central domain-containing protein	2
Putative AdoMet-dependent methyltransferase	2
Poly	0
Ser/thr protein phosphatase family protein	2
Si:ch211-256e16.3	0
Putative DNA binding CopG/RHH family protein	2
nitrile-specifier protein 5-like	2
Nucleosome remodeling complex atpase subunit	2
Probable bacteriophage t7-related protein protein	0
Phage tail length tape measure protein	2
N-glycanase_C domain-containing protein	2
Iron-regulated protein	2
Kelch protein 10	2
M23 family peptidase	2
Kelch domain-containing isoform A	2
tRNA methyltransferase	2
BRO, N-terminal	2
StsF protein	2
Peptidase subunit of mitochondrial ATP-dependent protease hslUV	2
Head-tail connector protein	2
Cruciform cutting endonuclease Cce1	2
Ribosomal-protein-S5-alanine N-acetyltransferase	2
Putative phage terminase, small subunit	2
DNA topoisomerase II	2
Peptidase_M17_N domain-containing protein	2
Ectoderm-neural cortex protein 2	2
RanBD1 domain-containing protein	2
Chloramphenicol phosphotransferase family protein	2
F-box/kelch-repeat protein At2g44130-like	2
Lysyl hydroxylase/galactosyltransferase/ glucosyltransferase	2
VCP, transitional endoplasmic reticulum ATPase	2
UvrABC system protein A	2
Hydroxymethylglutaryl-CoA reductase (NADPH)	2
3D (Asp-Asp-Asp) domain-containing protein	1
Gliding motility-associated-like protein	2
Phage major capsid protein E	2
Chromodomain-helicase-DNA-binding protein 1-like isoform 1	2
Putative partitioning protein	2
Sodium/hydrogen exchanger family-domain-containing protein	2
TYW3 domain-containing protein	2
Kelch-like protein 2 isoform X5	2
Lyase, putative	2
Chaperonin 60 subunit beta 2, chloroplastic	2
Putative Phage portal protein, lambda family	2
Peptidase M15A/endolysin gp23	2
Mannose-6-phosphate isomerase, cupin superfamily	2
GIP protein	2
Thioredoxin-like protein 1	2
Gas-vesicle operon protein GvpN	2
RAD51 paralog D	2
Superoxide dismutase [Mn]	2
GST C-terminal domain-containing protein	2
Nicotinamide phosphoribosyltransferase 1	2
Glutathione synthase/RimK-type ligase-like ATP-grasp enzyme	2
Flavorubredoxin	2
Glucosamine 6-phosphate N-acetyltransferase 1	2
Kelch like family member 7	2
GAT1, GATA Zn-finger-containing transcription factor	2
Glucagon-like peptide 1 receptor	2
FHA domain protein	2
Pentraxin fusion-like protein	2
Sheath structural protein	2
DUF2815 family protein	1
Chemotaxis protein	2
GGDEF protein	2
Regulatory prophage protein cI	2
Mechanosensitive ion channel	2
KPRB protein	2
DNA_pol3_beta_3 domain-containing protein	2
Attractin isoform X1	2
Uncharacterized protein AF_1796	0
helicase-like transcription factor CHR28 isoform X5	2
DDE_Tnp_1_7 domain-containing protein	2
Kelch-like protein 32 BTB and kelch domain-containing protein 5	2
Swarming motility protein	2
BMA-KEL-1	0
KpsF-like protein	2
MGME1	2
Deoxycytidylate deaminase isoform a	2
Podospora anserina S mat+ genomic DNA chromosome 1, supercontig 4	0
HBL038Cp	0
uncharacterized protein LOC113492616 isoform X5	0
Head morphogenesis protein	2
SWIM zinc finger	2
Negative transcription regulator padR	2
L-2-haloalkanoic acid dehalogenase	2
Membrane protein TerC	2
RuBisCO large subunit-binding protein subunit alpha, chloroplastic	2
Protein export cytoplasm protein SecA ATPase RNA helicase	2
Bacteriophage HNH endonuclease	2
Putative zinc finger/helix-turn-helix protein, YgiT family	2
Chloramphenicol resistance protein	2
Peptidoglycan binding domain containing protein	2
