protein_annotation	label
NADPH-dependent 7-cyano-7-deazaguanine reductase QueF	2
Hydrogen peroxide-inducible genes activator > OxyR	2
Scoulerine-9-O-methyltransferase 1	2
PadR domain-containing protein	2
protein mono-ADP-ribosyltransferase PARP9 isoform X4	2
Chromosome replication	2
Aste57867_15225 protein	0
G/U mismatch-specific DNA glycosylase (Modular protein)	2
P22 coat - protein 5 family protein	2
Unplaced genomic scaffold scaffold_455, whole genome shotgun sequence	0
KaiC protein	2
Putative circadian clock protein, KaiC	2
uncharacterized protein LOC113492616 isoform X5	0
Putative RNAse	2
DNA transport protein HofQ	2
Bacillopeptidase F	2
Acyl-CoA binding protein	2
Bacteriophage lambda head decoration protein D	2
Transporter, SSS family	2
DNA (Cytosine-5)-methyltransferase 3B isoform 3	2
Kelch domain-containing protein STK_09390	2
Bifunctional oligoribonuclease/PAP phosphatase NrnA	2
Zmp:0000000619	0
DUF4376 domain containing protein	1
Recombination protein MgsA	2
GNAT-family acetyltransferase TIGR03103	2
DNA-binding IscR family transcriptional regulator	2
Arabinose 5-phosphate isomerase KpsF	2
Tubulin gamma chain	2
MazG nucleotide pyrophosphohydrolase domain	2
RNA ligase-domain-containing protein	2
N-acetyltransferase family protein	2
Putative phage integrase, Bbp50	2
C5-cytosine specific methylase	2
26S proteasome regulatory subunit 6A (Trinotate prediction)	2
PyrE-like protein	2
Nuclear protein ZAP, related protein, putative	2
Calicin	2
Complex I-SGDH	2
Tail/DNA circulation protein	2
D12 class N6 adenine-specific DNA methyltransferase superfamily	2
Oligoribonuclease, mitochondrial	2
S-layer domain-containing protein	2
Com family DNA-binding transcriptional regulator	2
Class B acid phosphatase	2
Probable amidotransferase subunit	2
Phage-like element PBSX protein XkdK	2
Toxin-antitoxin system, toxin component, Bro family	2
Putative metallopeptidase	2
Peptidase P60	2
DUF3293 domain-containing protein	1
(P)ppGpp synthetase I, SpoT/RelA	2
Putative endonuklease-like protein	2
Cell wall-associated hydrolases	2
Phosphoesterase domain protein	2
DNA repair protein Rhp26/Rad26, putative	2
BppA	2
Bacterial group 2 Ig-like protein	2
Nucleosome remodeling complex atpase subunit	2
Myo-Inositol 2-dehydrogenase	2
2-desacetyl-2-hydroxyethyl bacteriochlorophyllide A dehydrogenase	2
F5/8 type C domain	2
Probable starch synthase 4, chloroplastic/amyloplastic	2
GCN5 family N-acetyltransferase	2
uncharacterized protein LOC113215502	0
Phage Terminase Large Subunit	2
Hva1_TUDOR domain-containing protein	2
Acyl-n-acyltransferase	2
C3H1-type domain-containing protein	2
EndoU_bacteria domain-containing protein	2
O-acetyl-ADP-ribose deacetylase MACROD2 isoform X2	2
P22_AR_C domain-containing protein	2
Cob-i2 ORF	2
Major head subunit	2
CLUMA_CG015213, isoform A	0
Prokaryotic homologs of the JAB domain	2
Choice-of-anchor D domain-containing protein	2
Macrodomain protein	2
Haloacid dehalogenase-like hydrolase, putative	2
KN17_SH3 domain-containing protein	2
NAD(P)-binding Rossmann-fold superfamily protein	2
PBECR1 domain-containing protein	2
TF_AP-2 domain-containing protein	2
Uncharacterized LOC103140637	0
ribonucleoside-diphosphate reductase subunit M2 B isoform X1	2
Synaptotagmin-1	2
uncharacterized protein LOC115325222	0
Bacteriophage HK97-gp10, putative tail-component	2
Fibrillin-1-like, partial	2
Kel1/Kel2	2
Influenza virus NS1A-binding homolog	2
